,year,name,value,rank,lastValue,new_cases
0,2021.4,Afghanistan,29322.542857142857,98,0.0,
1,2021.3,Afghanistan,,215,0.0,
2,2021.2,Afghanistan,,211,0.0,
3,2021.1,Afghanistan,,206,0.0,
4,2021.0,Afghanistan,,194,0.0,
5,2020.9,Afghanistan,,189,0.0,
6,2020.8,Afghanistan,,187,0.0,
7,2020.7,Afghanistan,,185,0.0,
8,2020.6,Afghanistan,,185,0.0,
9,2020.5,Afghanistan,,185,0.0,
10,2020.4,Afghanistan,,185,0.0,
11,2020.3,Afghanistan,,184,0.0,
12,2020.2,Afghanistan,,176,0.0,
13,2021.4,Albania,182162.2,70,0.0,
14,2021.3,Albania,,215,15.595238095238095,
15,2021.2,Albania,15.595238095238095,100,47.457142857142856,
16,2021.1,Albania,47.457142857142856,60,0.0,
17,2021.0,Albania,,194,0.0,
18,2020.9,Albania,,189,0.0,
19,2020.8,Albania,,187,0.0,
20,2020.7,Albania,,185,0.0,
21,2020.6,Albania,,185,0.0,
22,2020.5,Albania,,185,0.0,
23,2020.4,Albania,,185,0.0,
24,2020.3,Albania,,184,0.0,
25,2020.2,Albania,,176,0.0,
26,2021.4,Algeria,,215,0.0,
27,2021.3,Algeria,,215,0.0,
28,2021.2,Algeria,,211,0.0,
29,2021.1,Algeria,,206,0.0,
30,2021.0,Algeria,,194,0.0,
31,2020.9,Algeria,,189,0.0,
32,2020.8,Algeria,,187,0.0,
33,2020.7,Algeria,,185,0.0,
34,2020.6,Algeria,,185,0.0,
35,2020.5,Algeria,,185,0.0,
36,2020.4,Algeria,,185,0.0,
37,2020.3,Algeria,,184,0.0,
38,2020.2,Algeria,,176,0.0,
39,2021.4,Andorra,818.4857142857143,159,529.8571428571429,
40,2021.3,Andorra,529.8571428571429,117,88.11904761904762,
41,2021.2,Andorra,88.11904761904762,96,0.0,
42,2021.1,Andorra,,206,0.0,
43,2021.0,Andorra,,194,0.0,
44,2020.9,Andorra,,189,0.0,
45,2020.8,Andorra,,187,0.0,
46,2020.7,Andorra,,185,0.0,
47,2020.6,Andorra,,185,0.0,
48,2020.5,Andorra,,185,0.0,
49,2020.4,Andorra,,185,0.0,
50,2020.3,Andorra,,184,0.0,
51,2020.2,Andorra,,176,0.0,
52,2021.4,Angola,42640.171428571426,92,0.0,
53,2021.3,Angola,,215,0.0,
54,2021.2,Angola,,211,0.0,
55,2021.1,Angola,,206,0.0,
56,2021.0,Angola,,194,0.0,
57,2020.9,Angola,,189,0.0,
58,2020.8,Angola,,187,0.0,
59,2020.7,Angola,,185,0.0,
60,2020.6,Angola,,185,0.0,
61,2020.5,Angola,,185,0.0,
62,2020.4,Angola,,185,0.0,
63,2020.3,Angola,,184,0.0,
64,2020.2,Angola,,176,0.0,
65,2021.4,Anguilla,591.3846153846154,161,22.37142857142857,
66,2021.3,Anguilla,22.37142857142857,136,0.0,
67,2021.2,Anguilla,,211,0.0,
68,2021.1,Anguilla,,206,0.0,
69,2021.4,Antigua and Barbuda,4604.228571428572,133,0.0,
70,2021.3,Antigua and Barbuda,,215,0.0,
71,2021.2,Antigua and Barbuda,,211,0.0,
72,2021.1,Antigua and Barbuda,,206,0.0,
73,2021.0,Antigua and Barbuda,,194,0.0,
74,2020.9,Antigua and Barbuda,,189,0.0,
75,2020.8,Antigua and Barbuda,,187,0.0,
76,2020.7,Antigua and Barbuda,,185,0.0,
77,2020.6,Antigua and Barbuda,,185,0.0,
78,2020.5,Antigua and Barbuda,,185,0.0,
79,2020.4,Antigua and Barbuda,,185,0.0,
80,2020.3,Antigua and Barbuda,,184,0.0,
81,2020.2,Antigua and Barbuda,,176,0.0,
82,2021.4,Argentina,2486952.0,21,885095.8571428572,
83,2021.3,Argentina,885095.8571428572,23,461334.1904761905,
84,2021.2,Argentina,461334.1904761905,20,124102.54285714286,
85,2021.1,Argentina,124102.54285714286,14,0.0,
86,2021.0,Argentina,,194,0.0,
87,2020.9,Argentina,,189,0.0,
88,2020.8,Argentina,,187,0.0,
89,2020.7,Argentina,,185,0.0,
90,2020.6,Argentina,,185,0.0,
91,2020.5,Argentina,,185,0.0,
92,2020.4,Argentina,,185,0.0,
93,2020.3,Argentina,,184,0.0,
94,2020.2,Argentina,,176,0.0,
95,2021.4,Armenia,,215,0.0,
96,2021.3,Armenia,,215,0.0,
97,2021.2,Armenia,,211,0.0,
98,2021.1,Armenia,,206,0.0,
99,2021.0,Armenia,,194,0.0,
100,2020.9,Armenia,,189,0.0,
101,2020.8,Armenia,,187,0.0,
102,2020.7,Armenia,,185,0.0,
103,2020.6,Armenia,,185,0.0,
104,2020.5,Armenia,,185,0.0,
105,2020.4,Armenia,,185,0.0,
106,2020.3,Armenia,,184,0.0,
107,2020.2,Armenia,,176,0.0,
108,2021.4,Aruba,40540.91176470588,94,13128.971428571429,
109,2021.3,Aruba,13128.971428571429,86,1452.2857142857142,
110,2021.2,Aruba,1452.2857142857142,76,0.0,
111,2021.4,Australia,331914.0,58,0.0,
112,2021.3,Australia,,215,0.0,
113,2021.2,Australia,,211,0.0,
114,2021.1,Australia,,206,0.0,
115,2021.0,Australia,,194,0.0,
116,2020.9,Australia,,189,0.0,
117,2020.8,Australia,,187,0.0,
118,2020.7,Australia,,185,0.0,
119,2020.6,Australia,,185,0.0,
120,2020.5,Australia,,185,0.0,
121,2020.4,Australia,,185,0.0,
122,2020.3,Australia,,184,0.0,
123,2020.2,Australia,,176,0.0,
124,2021.4,Austria,1475663.9428571428,30,767365.7714285714,
125,2021.3,Austria,767365.7714285714,28,326370.59523809527,
126,2021.2,Austria,326370.59523809527,27,90582.68571428572,
127,2021.1,Austria,90582.68571428572,20,9.142857142857142,
128,2021.0,Austria,9.142857142857142,19,0.0,
129,2020.9,Austria,,189,0.0,
130,2020.8,Austria,,187,0.0,
131,2020.7,Austria,,185,0.0,
132,2020.6,Austria,,185,0.0,
133,2020.5,Austria,,185,0.0,
134,2020.4,Austria,,185,0.0,
135,2020.3,Austria,,184,0.0,
136,2020.2,Austria,,176,0.0,
137,2021.4,Azerbaijan,836220.1428571428,42,466988.0,
138,2021.3,Azerbaijan,466988.0,35,31335.666666666668,
139,2021.2,Azerbaijan,31335.666666666668,50,0.0,
140,2021.1,Azerbaijan,,206,0.0,
141,2021.0,Azerbaijan,,194,0.0,
142,2020.9,Azerbaijan,,189,0.0,
143,2020.8,Azerbaijan,,187,0.0,
144,2020.7,Azerbaijan,,185,0.0,
145,2020.6,Azerbaijan,,185,0.0,
146,2020.5,Azerbaijan,,185,0.0,
147,2020.4,Azerbaijan,,185,0.0,
148,2020.3,Azerbaijan,,184,0.0,
149,2020.2,Azerbaijan,,176,0.0,
150,2021.4,Bahamas,1321.4571428571428,148,0.0,
151,2021.3,Bahamas,,215,0.0,
152,2021.2,Bahamas,,211,0.0,
153,2021.1,Bahamas,,206,0.0,
154,2021.0,Bahamas,,194,0.0,
155,2020.9,Bahamas,,189,0.0,
156,2020.8,Bahamas,,187,0.0,
157,2020.7,Bahamas,,185,0.0,
158,2020.6,Bahamas,,185,0.0,
159,2020.5,Bahamas,,185,0.0,
160,2020.4,Bahamas,,185,0.0,
161,2020.3,Bahamas,,184,0.0,
162,2020.2,Bahamas,,176,0.0,
163,2021.4,Bahrain,738689.1142857143,44,478730.34285714285,
164,2021.3,Bahrain,478730.34285714285,33,166246.97619047618,
165,2021.2,Bahrain,166246.97619047618,33,0.0,
166,2021.1,Bahrain,,206,0.0,
167,2021.0,Bahrain,,194,0.0,
168,2020.9,Bahrain,,189,0.0,
169,2020.8,Bahrain,,187,0.0,
170,2020.7,Bahrain,,185,0.0,
171,2020.6,Bahrain,,185,0.0,
172,2020.5,Bahrain,,185,0.0,
173,2020.4,Bahrain,,185,0.0,
174,2020.3,Bahrain,,184,0.0,
175,2020.2,Bahrain,,176,0.0,
176,2021.4,Bangladesh,2532305.0285714287,20,1275990.657142857,
177,2021.3,Bangladesh,1275990.657142857,19,0.0,
178,2021.2,Bangladesh,,211,0.0,
179,2021.1,Bangladesh,,206,0.0,
180,2021.0,Bangladesh,,194,0.0,
181,2020.9,Bangladesh,,189,0.0,
182,2020.8,Bangladesh,,187,0.0,
183,2020.7,Bangladesh,,185,0.0,
184,2020.6,Bangladesh,,185,0.0,
185,2020.5,Bangladesh,,185,0.0,
186,2020.4,Bangladesh,,185,0.0,
187,2020.3,Bangladesh,,184,0.0,
188,2020.2,Bangladesh,,176,0.0,
189,2021.4,Barbados,50963.42857142857,90,6444.542857142857,
190,2021.3,Barbados,6444.542857142857,94,0.0,
191,2021.2,Barbados,,211,0.0,
192,2021.1,Barbados,,206,0.0,
193,2021.0,Barbados,,194,0.0,
194,2020.9,Barbados,,189,0.0,
195,2020.8,Barbados,,187,0.0,
196,2020.7,Barbados,,185,0.0,
197,2020.6,Barbados,,185,0.0,
198,2020.5,Barbados,,185,0.0,
199,2020.4,Barbados,,185,0.0,
200,2020.3,Barbados,,184,0.0,
201,2020.2,Barbados,,176,0.0,
202,2021.4,Belarus,24740.657142857144,101,7445.714285714285,
203,2021.3,Belarus,7445.714285714285,91,859.5238095238095,
204,2021.2,Belarus,859.5238095238095,84,0.0,
205,2021.1,Belarus,,206,0.0,
206,2021.0,Belarus,,194,0.0,
207,2020.9,Belarus,,189,0.0,
208,2020.8,Belarus,,187,0.0,
209,2020.7,Belarus,,185,0.0,
210,2020.6,Belarus,,185,0.0,
211,2020.5,Belarus,,185,0.0,
212,2020.4,Belarus,,185,0.0,
213,2020.3,Belarus,,184,0.0,
214,2020.2,Belarus,,176,0.0,
215,2021.4,Belgium,1934086.7142857143,25,791788.0571428571,
216,2021.3,Belgium,791788.0571428571,26,432998.88095238095,
