,year,name,value,people_fully_vaccinated,rank,lastValue,new_cases
0,2021.5,Afghanistan,60592.125,22158.25,115,122320.0,
1,2021.4,Afghanistan,122320.0,29322.542857142857,101,10285.714285714286,
2,2021.3,Afghanistan,10285.714285714286,,124,1480.952380952381,
3,2021.2,Afghanistan,1480.952380952381,,128,0.0,
4,2021.1,Afghanistan,,,206,0.0,
5,2021.0,Afghanistan,,,194,0.0,
6,2020.9,Afghanistan,,,189,0.0,
7,2020.8,Afghanistan,,,187,0.0,
8,2020.7,Afghanistan,,,185,0.0,
9,2020.6,Afghanistan,,,185,0.0,
10,2020.5,Afghanistan,,,185,0.0,
11,2020.4,Afghanistan,,,185,0.0,
12,2020.3,Afghanistan,,,184,0.0,
13,2020.2,Afghanistan,,,176,0.0,
14,2021.5,Albania,383954.125,263393.875,78,341086.4285714286,
15,2021.4,Albania,341086.4285714286,191652.85714285713,83,0.0,
16,2021.3,Albania,,,215,144.5952380952381,
17,2021.2,Albania,144.5952380952381,15.595238095238095,151,193.25714285714287,
18,2021.1,Albania,193.25714285714287,47.457142857142856,80,39.61904761904762,
19,2021.0,Albania,39.61904761904762,,44,0.0,
20,2020.9,Albania,,,189,0.0,
21,2020.8,Albania,,,187,0.0,
22,2020.7,Albania,,,185,0.0,
23,2020.6,Albania,,,185,0.0,
24,2020.5,Albania,,,185,0.0,
25,2020.4,Albania,,,185,0.0,
26,2020.3,Albania,,,184,0.0,
27,2020.2,Albania,,,176,0.0,
28,2021.5,Algeria,,,215,71428.57142857143,
29,2021.4,Algeria,71428.57142857143,,111,0.0,
30,2021.3,Algeria,,,215,0.0,
31,2021.2,Algeria,,,211,2143.714285714286,
32,2021.1,Algeria,2143.714285714286,,63,0.0,
33,2021.0,Algeria,,,194,0.0,
34,2020.9,Algeria,,,189,0.0,
35,2020.8,Algeria,,,187,0.0,
36,2020.7,Algeria,,,185,0.0,
37,2020.6,Algeria,,,185,0.0,
38,2020.5,Algeria,,,185,0.0,
39,2020.4,Algeria,,,185,0.0,
40,2020.3,Algeria,,,184,0.0,
