,name,year,value,lastValue,rank
0,Afghanistan,2020.2,203.0,0.0,101
1,Afghanistan,2020.3,9537.0,203.0,75
2,Afghanistan,2020.4,96483.0,9537.0,45
3,Afghanistan,2020.5,226442.0,96483.0,44
4,Afghanistan,2020.6,258809.0,226442.0,54
5,Afghanistan,2020.7,270371.0,258809.0,63
6,Afghanistan,2020.8,284730.0,270371.0,76
7,Afghanistan,2020.9,320115.0,284730.0,88
8,Afghanistan,2021.0,373176.0,320115.0,91
9,Afghanistan,2021.1,388130.0,373176.0,97
10,Afghanistan,2021.2,393755.0,388130.0,103
11,Afghanistan,2021.3,418277.0,393755.0,106
12,Afghanistan,2021.4,484852.0,418277.0,105
26,Albania,2020.2,517.0,33650803.0,80
27,Albania,2020.3,4758.0,517.0,95
28,Albania,2020.4,7656.0,4758.0,107
29,Albania,2020.5,19205.0,7656.0,101
30,Albania,2020.6,43028.0,19205.0,96
31,Albania,2020.7,77196.0,43028.0,92
32,Albania,2020.8,129865.0,77196.0,93
33,Albania,2020.9,253686.0,129865.0,91
34,Albania,2021.0,435973.0,253686.0,87
35,Albania,2021.1,635722.0,435973.0,83
36,Albania,2021.2,862319.0,635722.0,82
37,Albania,2021.3,917356.0,862319.0,83
38,Albania,2021.4,925943.0,917356.0,88
39,Algeria,2020.2,881.0,925943.0,67
40,Algeria,2020.3,22010.0,881.0,55
41,Algeria,2020.4,63859.0,22010.0,55
42,Algeria,2020.5,105751.0,63859.0,60
43,Algeria,2020.6,238905.0,105751.0,56
44,Algeria,2020.7,334151.0,238905.0,56
45,Algeria,2020.8,389339.0,334151.0,64
46,Algeria,2020.9,560935.0,389339.0,76
47,Algeria,2021.0,711458.0,560935.0,78
48,Algeria,2021.1,771811.0,711458.0,80
49,Algeria,2021.2,816519.0,771811.0,83
50,Algeria,2021.3,854448.0,816519.0,85
51,Algeria,2021.4,897225.0,854448.0,90
52,Andorra,2020.2,540.0,897225.0,77
53,Andorra,2020.3,5113.0,540.0,91
54,Andorra,2020.4,5346.0,5113.0,123
55,Andorra,2020.5,5985.0,5346.0,140
56,Andorra,2020.6,6650.0,5985.0,150
57,Andorra,2020.7,9333.0,6650.0,154
58,Andorra,2020.8,27684.0,9333.0,138
59,Andorra,2020.9,45990.0,27684.0,128
60,Andorra,2021.0,59251.0,45990.0,132
61,Andorra,2021.1,72986.0,59251.0,134
62,Andorra,2021.2,82195.0,72986.0,133
63,Andorra,2021.3,92508.0,82195.0,136
64,Andorra,2021.4,95823.0,92508.0,138
65,Angola,2020.2,8.0,95823.0,158
66,Angola,2020.3,177.0,8.0,159
67,Angola,2020.4,552.0,177.0,166
68,Angola,2020.5,2256.0,552.0,157
69,Angola,2020.6,10683.0,2256.0,135
70,Angola,2020.7,22783.0,10683.0,128
71,Angola,2020.8,61849.0,22783.0,113
72,Angola,2020.9,104820.0,61849.0,108
73,Angola,2021.0,126263.0,104820.0,113
74,Angola,2021.1,142004.0,126263.0,117
75,Angola,2021.2,153711.0,142004.0,121
76,Angola,2021.3,186134.0,153711.0,122
77,Angola,2021.4,236919.0,186134.0,119
78,Anguilla,2021.1,0.0,236919.0,208
79,Anguilla,2021.2,0.0,0.0,212
80,Anguilla,2021.3,0.0,0.0,217
81,Anguilla,2021.4,0.0,0.0,218
82,Antigua and Barbuda,2020.2,9.0,0.0,151
83,Antigua and Barbuda,2020.3,167.0,9.0,160
84,Antigua and Barbuda,2020.4,177.0,167.0,171
85,Antigua and Barbuda,2020.5,481.0,177.0,174
86,Antigua and Barbuda,2020.6,644.0,481.0,177
87,Antigua and Barbuda,2020.7,665.0,644.0,178
88,Antigua and Barbuda,2020.8,857.0,665.0,178
89,Antigua and Barbuda,2020.9,984.0,857.0,179
90,Antigua and Barbuda,2021.0,1174.0,984.0,180
91,Antigua and Barbuda,2021.1,2763.0,1174.0,179
92,Antigua and Barbuda,2021.2,7771.0,2763.0,174
93,Antigua and Barbuda,2021.3,8624.0,7771.0,175
94,Antigua and Barbuda,2021.4,8811.0,8624.0,179
95,Argentina,2020.0,0.0,8811.0,4
96,Argentina,2020.1,0.0,0.0,42
97,Argentina,2020.2,1097.0,0.0,59
98,Argentina,2020.3,24892.0,1097.0,54
99,Argentina,2020.4,107762.0,24892.0,44
100,Argentina,2020.5,508092.0,107762.0,23
101,Argentina,2020.6,1640267.0,508092.0,19
102,Argentina,2020.7,3739694.0,1640267.0,10
103,Argentina,2020.8,7453568.0,3739694.0,6
104,Argentina,2020.9,9835606.0,7453568.0,9
105,Argentina,2021.0,11899806.0,9835606.0,12
106,Argentina,2021.1,14094578.0,11899806.0,12
107,Argentina,2021.2,16033217.0,14094578.0,12
108,Argentina,2021.3,20786671.0,16033217.0,11
109,Argentina,2021.4,25842164.0,20786671.0,9
110,Armenia,2020.2,1002.0,25842164.0,61
111,Armenia,2020.3,11224.0,1002.0,69
112,Armenia,2020.4,59769.0,11224.0,57
113,Armenia,2020.5,191027.0,59769.0,50
114,Armenia,2020.6,279716.0,191027.0,51
115,Armenia,2020.7,318440.0,279716.0,59
116,Armenia,2020.8,511540.0,318440.0,57
117,Armenia,2020.9,923309.0,511540.0,52
118,Armenia,2021.0,1130079.0,923309.0,57
119,Armenia,2021.1,1181746.0,1130079.0,65
120,Armenia,2021.2,1317689.0,1181746.0,70
121,Armenia,2021.3,1510995.0,1317689.0,70
122,Armenia,2021.4,1557191.0,1510995.0,74
123,Aruba,2021.2,0.0,1557191.0,212
124,Aruba,2021.3,0.0,0.0,217
125,Aruba,2021.4,0.0,0.0,218
140,Australia,2020.1,100.0,353942620.0,9
141,Australia,2020.2,6794.0,100.0,21
142,Australia,2020.3,46765.0,6794.0,43
143,Australia,2020.4,50253.0,46765.0,63
144,Australia,2020.5,58028.0,50253.0,72
145,Australia,2020.6,144499.0,58028.0,69
146,Australia,2020.7,186242.0,144499.0,72
147,Australia,2020.8,192449.0,186242.0,85
148,Australia,2020.9,195183.0,192449.0,96
149,Australia,2021.0,200078.0,195183.0,101
150,Australia,2021.1,202232.0,200078.0,112
151,Australia,2021.2,204773.0,202232.0,115
152,Australia,2021.3,208644.0,204773.0,121
153,Australia,2021.4,210585.0,208644.0,122
154,Austria,2020.2,18249.0,210585.0,12
155,Austria,2020.3,105518.0,18249.0,23
156,Austria,2020.4,116580.0,105518.0,40
157,Austria,2020.5,126440.0,116580.0,57
158,Austria,2020.6,152638.0,126440.0,67
159,Austria,2020.7,223134.0,152638.0,68
160,Austria,2020.8,525226.0,223134.0,56
161,Austria,2020.9,1890077.0,525226.0,35
162,Austria,2021.0,2635485.0,1890077.0,35
163,Austria,2021.1,3014166.0,2635485.0,35
164,Austria,2021.2,3709722.0,3014166.0,37
165,Austria,2021.3,4328085.0,3709722.0,37
166,Austria,2021.4,4505206.0,4328085.0,38
167,Azerbaijan,2020.2,334.0,4505206.0,93
168,Azerbaijan,2020.3,11078.0,334.0,70
169,Azerbaijan,2020.4,35121.0,11078.0,67
170,Azerbaijan,2020.5,134549.0,35121.0,55
171,Azerbaijan,2020.6,233332.0,134549.0,57
172,Azerbaijan,2020.7,266102.0,233332.0,64
173,Azerbaijan,2020.8,337569.0,266102.0,71
174,Azerbaijan,2020.9,770633.0,337569.0,60
175,Azerbaijan,2021.0,1563431.0,770633.0,45
176,Azerbaijan,2021.1,1622675.0,1563431.0,53
177,Azerbaijan,2021.2,1769301.0,1622675.0,54
178,Azerbaijan,2021.3,2232162.0,1769301.0,53
179,Azerbaijan,2021.4,2334410.0,2232162.0,57
180,Bahamas,2020.2,20.0,2334410.0,135
181,Bahamas,2020.3,513.0,20.0,143
182,Bahamas,2020.4,709.0,513.0,161
183,Bahamas,2020.5,728.0,709.0,169
184,Bahamas,2020.6,5778.0,728.0,154
185,Bahamas,2020.7,19705.0,5778.0,133
186,Bahamas,2020.8,43465.0,19705.0,120
187,Bahamas,2020.9,52461.0,43465.0,126
188,Bahamas,2021.0,55743.0,52461.0,134
189,Bahamas,2021.1,58133.0,55743.0,138
190,Bahamas,2021.2,62610.0,58133.0,143
191,Bahamas,2021.3,72919.0,62610.0,147
192,Bahamas,2021.4,81786.0,72919.0,144
193,Bahrain,2020.2,2063.0,81786.0,43
194,Bahrain,2020.3,16693.0,2063.0,61
195,Bahrain,2020.4,73621.0,16693.0,50
196,Bahrain,2020.5,198464.0,73621.0,47
197,Bahrain,2020.6,302879.0,198464.0,50
198,Bahrain,2020.7,412132.0,302879.0,50
199,Bahrain,2020.8,556988.0,412132.0,55
200,Bahrain,2020.9,605451.0,556988.0,70
201,Bahrain,2021.0,664696.0,605451.0,81
202,Bahrain,2021.1,778573.0,664696.0,79
203,Bahrain,2021.2,980242.0,778573.0,79
204,Bahrain,2021.3,1238649.0,980242.0,78
205,Bahrain,2021.4,1626307.0,1238649.0,72
206,Bangladesh,2020.2,146.0,1626307.0,105
207,Bangladesh,2020.3,32356.0,146.0,48
208,Bangladesh,2020.4,299503.0,32356.0,22
209,Bangladesh,2020.5,1092123.0,299503.0,18
210,Bangladesh,2020.6,1766067.0,1092123.0,15
211,Bangladesh,2020.7,2340957.0,1766067.0,15
212,Bangladesh,2020.8,2772530.0,2340957.0,18
213,Bangladesh,2020.9,3209243.0,2772530.0,25
214,Bangladesh,2021.0,3644550.0,3209243.0,27
215,Bangladesh,2021.1,3779320.0,3644550.0,33
216,Bangladesh,2021.2,4118991.0,3779320.0,34
217,Bangladesh,2021.3,5308569.0,4118991.0,33
218,Bangladesh,2021.4,5573973.0,5308569.0,33
219,Barbados,2020.2,51.0,5573973.0,127
220,Barbados,2020.3,541.0,51.0,141
221,Barbados,2020.4,644.0,541.0,164
222,Barbados,2020.5,681.0,644.0,170
223,Barbados,2020.6,958.0,681.0,172
224,Barbados,2020.7,1264.0,958.0,173
225,Barbados,2020.8,1581.0,1264.0,175
226,Barbados,2020.9,1882.0,1581.0,175
227,Barbados,2021.0,5479.0,1882.0,170
228,Barbados,2021.1,13912.0,5479.0,165
229,Barbados,2021.2,25224.0,13912.0,163
230,Barbados,2021.3,26962.0,25224.0,163
231,Barbados,2021.4,28065.0,26962.0,167
232,Belarus,2020.2,440.0,28065.0,85
233,Belarus,2020.3,62141.0,440.0,34
234,Belarus,2020.4,285254.0,62141.0,23
235,Belarus,2020.5,440865.0,285254.0,26
236,Belarus,2020.6,480278.0,440865.0,39
237,Belarus,2020.7,516493.0,480278.0,45
238,Belarus,2020.8,638606.0,516493.0,52
239,Belarus,2020.9,922026.0,638606.0,53
240,Belarus,2021.0,1460021.0,922026.0,49
241,Belarus,2021.1,1856257.0,1460021.0,46
242,Belarus,2021.2,2213648.0,1856257.0,48
243,Belarus,2021.3,2509506.0,2213648.0,49
244,Belarus,2021.4,2739520.0,2509506.0,49
245,Belgium,2020.1,7.0,2739520.0,28
246,Belgium,2020.2,16740.0,7.0,13
247,Belgium,2020.3,308081.0,16740.0,13
248,Belgium,2020.4,406041.0,308081.0,19
249,Belgium,2020.5,432173.0,406041.0,27
250,Belgium,2020.6,508779.0,432173.0,36
251,Belgium,2020.7,641176.0,508779.0,36
252,Belgium,2020.8,2011535.0,641176.0,26
253,Belgium,2020.9,3993523.0,2011535.0,18
254,Belgium,2021.0,4620005.0,3993523.0,23
255,Belgium,2021.1,5142839.0,4620005.0,26
256,Belgium,2021.2,6016960.0,5142839.0,25
