,year,name,value,new_cases,lastValue,rank
0,2021.4,Afghanistan,65637.04545454546,454.3636363636364,58709.57142857143,105
1,2021.3,Afghanistan,58709.57142857143,147.6,56027.42857142857,105
2,2021.2,Afghanistan,56027.42857142857,25.523809523809526,55086.74285714285,103
3,2021.1,Afghanistan,55086.74285714285,46.285714285714285,51056.76190476191,97
4,2021.0,Afghanistan,51056.76190476191,159.0,44225.6,90
5,2020.9,Afghanistan,44225.6,165.85714285714286,39983.333333333336,87
6,2020.8,Afghanistan,39983.333333333336,58.5,38334.857142857145,73
7,2020.7,Afghanistan,38334.857142857145,41.542857142857144,36344.828571428574,63
8,2020.6,Afghanistan,36344.828571428574,89.97142857142858,29235.8,52
9,2020.5,Afghanistan,29235.8,402.74285714285713,9847.742857142857,44
10,2020.4,Afghanistan,9847.742857142857,504.0,996.0285714285715,49
11,2020.3,Afghanistan,996.0285714285715,73.91428571428571,24.257142857142856,76
12,2020.2,Afghanistan,24.257142857142856,3.3714285714285714,0.0,112
13,2021.4,Albania,132101.5909090909,26.90909090909091,129843.4,85
14,2021.3,Albania,129843.4,148.34285714285716,116335.69047619047,83
15,2021.2,Albania,116335.69047619047,625.8333333333334,82835.97142857143,81
16,2021.1,Albania,82835.97142857143,930.1714285714286,56301.76190476191,85
17,2021.0,Albania,56301.76190476191,588.1428571428571,31163.371428571427,88
18,2020.9,Albania,31163.371428571427,622.4571428571429,16076.42857142857,91
19,2020.8,Albania,16076.42857142857,209.92857142857142,9934.8,93
20,2020.7,Albania,9934.8,143.0,5295.4,92
21,2020.6,Albania,5295.4,112.17142857142858,2245.9142857142856,96
22,2020.5,Albania,2245.9142857142856,63.08571428571429,996.7142857142857,101
23,2020.4,Albania,996.7142857142857,12.885714285714286,527.5428571428571,107
24,2020.3,Albania,527.5428571428571,16.65714285714286,51.94117647058823,94
25,2020.2,Albania,51.94117647058823,6.235294117647059,0.0,89
26,2021.4,Algeria,126427.86363636363,218.5909090909091,120584.25714285714,89
27,2021.3,Algeria,120584.25714285714,185.2,115145.0,84
28,2021.2,Algeria,115145.0,135.83333333333334,108247.11428571428,82
29,2021.1,Algeria,108247.11428571428,230.97142857142856,97584.35714285714,79
30,2021.0,Algeria,97584.35714285714,370.9761904761905,72393.11428571428,78
31,2020.9,Algeria,72393.11428571428,856.5714285714286,53570.59523809524,75
32,2020.8,Algeria,53570.59523809524,201.0952380952381,45072.62857142857,63
33,2020.7,Algeria,45072.62857142857,321.22857142857146,29486.285714285714,55
34,2020.6,Algeria,29486.285714285714,553.9428571428572,13400.142857142857,57
35,2020.5,Algeria,13400.142857142857,258.3142857142857,7637.5142857142855,60
36,2020.4,Algeria,7637.5142857142855,162.28571428571428,2392.0,54
